,Unnamed: 0,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
57,57,553280333,Getting Well Again,O. Carol Simonton Md,1992,Bantam
58,58,961769947,Northwest Wines and Wineries,Chuck Hill,1993,Speed Graphics
59,59,964778319,An Atmosphere of Eternity: Stories of India,David Iglehart,2002,Sunflower Press
60,60,671623249,LONESOME DOVE,Larry McMurtry,1986,Pocket
61,61,679810307,Shabanu: Daughter of the Wind (Border Trilogy),SUZANNE FISHER STAPLES,1991,Laurel Leaf
62,62,679865691,Haveli (Laurel Leaf Books),SUZANNE FISHER STAPLES,1995,Laurel Leaf
63,63,2070423204,Lieux dits,Michel Tournier,2002,Gallimard
64,64,345260317,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,1978,Ballantine Books
65,65,394743741,The yawning heights,Aleksandr Zinoviev,1980,Random House
66,66,042511774X,Breathing Lessons,Anne Tyler,1994,Berkley Publishing Group
67,67,804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12)
68,68,1853262404,Heart of Darkness (Wordsworth Collection),Joseph Conrad,1998,NTC/Contemporary Publishing Company
69,69,312970242,The Angel Is Near,Deepak Chopra,2000,St. Martin's Press
70,70,1853260053,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,1997,NTC/Contemporary Publishing Company
71,71,1414035004,The Adventures of Drew and Ellie: The Magical Dress,Charles Noland,2003,1stBooks Library
72,72,60938412,The Accidental Virgin,Valerie Frankel,2003,Avon Trade
73,73,140067477,The Tao of Pooh,Benjamin Hoff,1983,Penguin Books
74,74,345465083,Seabiscuit,LAURA HILLENBRAND,2003,Ballantine Books
75,75,451625889,The Prince,Niccolo Machiavelli,1952,Signet Book
76,76,1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,Thomas Nelson
77,77,441783589,Starship Troopers,Robert A. Heinlein,1987,Ace Books
78,78,394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,1988,Laurel Leaf
79,79,1569871213,Black Beauty (Illustrated Classics),Anna Sewell,1995,Landoll
80,80,375410538,Anil's Ghost,MICHAEL ONDAATJE,2000,Knopf
81,81,966986105,Prescription for Terror,Sandra Levy Ceren,1999,Andrew Scott Publishers
82,82,087113375X,Modern Manners: An Etiquette Book for Rude People,P.J. O'Rourke,1990,Atlantic Monthly Press
83,83,340767936,Turning Thirty,Mike Gayle,2000,Hodder &amp; Stoughton General Division
84,84,743403843,Decipher,Stel Pavlou,2002,Simon &amp; Schuster (Trade Division)
85,85,60930365,"My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell",Sarah Payne Stuart,1999,Perennial
86,86,60177586,Standing Firm: A Vice-Presidential Memoir,Dan Quayle,1994,Harpercollins
87,87,71416331,Team Bush : Leadership Lessons from the Bush White House,Donald F. Kettl,2003,McGraw-Hill
88,88,375509038,The Right Man : The Surprise Presidency of George W. Bush,DAVID FRUM,2003,Random House
89,89,553062042,Daybreakers Louis Lamour Collection,Louis Lamour,1981,Bantam Doubleday Dell
90,90,316769487,The Catcher in the Rye,J.D. Salinger,1991,"Little, Brown"
91,91,8445071408,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),J. R. R. Tolkien,2001,Minotauro
92,92,8445071769,El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),J. R. R. Tolkien,2001,Minotauro
93,93,8445071777,"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)",J. R. R. Tolkien,2001,Distribooks
94,94,679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994,Random House
95,95,671867156,Pretend You Don't See Her,Mary Higgins Clark,1998,Pocket
96,96,312252617,Fast Women,Jennifer Crusie,2001,St. Martin's Press
97,97,312261594,Female Intelligence,Jane Heller,2001,St. Martin's Press
98,98,316748641,Pasquale's Nose: Idle Days in an Italian Town,Michael Rips,2002,Back Bay Books
99,99,316973742,The Gospel of Judas: A Novel,Simon Mawer,2002,Back Bay Books
100,100,385235941,"Prize Stories, 1987: The O'Henry Awards",William Abrahams,1987,Doubleday Books
101,101,446677450,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,2000,Warner Books
102,102,451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book
103,103,553347594,McDonald's: Behind the Arches,John F. Love,1995,Bantam
104,104,671621009,Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!,Robert G. Allen,1986,Fireside
105,105,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage
106,106,684822733,"Love, Miracles, and Animal Healing : A heartwarming look at the spiritual bond between animals and humans",Pam Proctor,1996,Fireside
107,107,786868716,The Five People You Meet in Heaven,Mitch Albom,2003,Hyperion
108,108,8472238822,Tu Nombre Escrito En El Agua (La Sonrisa Vertical),Irene Gonzalez Frei,2002,Tusquets
109,109,671864769,Relics (Star Trek: The Next Generation),Michael Jan Friedman,1992,Star Trek
110,110,671521519,Bless The Beasts And Children : Bless The Beasts And Children,Glendon Swarthout,1995,Pocket
111,111,440222303,"The Touch of Your Shadow, the Whisper of Your Name (Babylon 5, Book 5)",Neal Barrett Jr.,1996,Dell
112,112,312953453,Blood Oath,David Morrell,1994,St. Martin's Press
113,113,446608653,The Alibi,Sandra Brown,2000,Warner Books
114,114,446612545,The Beach House,James Patterson,2003,Warner Books
115,115,446612618,A Kiss Remembered,Sandra Brown,2003,Warner Books
116,116,451208080,The Short Forever,Stuart Woods,2003,Signet Book
117,117,553584383,Dead Aim,IRIS JOHANSEN,2004,Bantam Books
118,118,671027360,Angels &amp; Demons,Dan Brown,2001,Pocket Star
119,119,812575954,The Deal,Joe Hutsko,2000,Tor Books (Mm)
120,120,316735736,All He Ever Wanted: A Novel,Anita Shreve,2004,Back Bay Books
121,121,743439740,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,2002,Pocket
122,122,345372700,"If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground",LEWIS GRIZZARD,1991,Ballantine Books
123,123,380619458,The Mosquito Coast,Paul Theroux,1990,Harper Mass Market Paperbacks (Mm)
124,124,446325805,"If Love Were Oil, I'd Be About a Quart Low",Lewis Grizzard,1994,Warner Books (Mm)
125,125,451406923,"Goodbye, My Little Ones: The True Story of a Murderous Mother and Five Innocent Victims",Charles Hickey,1996,Onyx Books
126,126,671042858,The Girl Who Loved Tom Gordon,Stephen King,2000,Pocket
127,127,743249992,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,Ben Mezrich,2003,Free Press
128,128,840734530,"The Oneprince (The Redaemian Chronicles, Book 1)",Bill Hand,1992,Thomas Nelson Inc
129,129,425184226,The Sum of All Fears,Tom Clancy,2002,Berkley Publishing Group
130,130,375500766,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,DANA REEVE,1999,Random House
131,131,9724119378,O Deus Das Pequenas Coisas,Roy,1998,Edicoes Asa
132,132,451205197,Lady in Green/Minor Indiscretions (Signet Regency Romance),Barbara Metzger,2002,Signet Book
133,133,60929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,1998,Perennial
134,134,60976845,Little Altars Everywhere: A Novel,Rebecca Wells,1996,Perennial
135,135,61099325,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1992,HarperTorch
136,136,671004573,Before I Say Good-Bye,Mary Higgins Clark,2001,Pocket
137,137,446601640,Slow Waltz in Cedar Bend,Robert James Waller,1994,Warner Books
138,138,330484516,Twenty Minute Retreats: Revive Your Spirits in Just Minutes a Day (A Pan Self-discovery Title),Rachel Harris,2001,Pan Macmillan
139,139,038572179X,Atonement : A Novel,IAN MCEWAN,2003,Anchor
140,140,393020371,Next: The Future Just Happened,Michael Lewis,2001,W.W. Norton &amp; Company
141,141,1900850303,The Angelic Darkness,Richard Zimler,1999,Arcadia Books
142,142,1903019699,The Soulbane Stratagem,Norman Jetmundsen,2000,"John Hunt Publishing, Ltd."
143,143,345425294,Gangster,Lorenzo Carcaterra,2002,Fawcett Books
144,144,451410319,Hush,Anne Frasier,2002,Onyx Books
145,145,553583468,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,2002,Bantam Books
146,146,8420639133,Temor y Temblor,Soren Kierkegaard,2001,Alianza
147,147,8476409419,Estudios sobre el amor,Jose Ortega Y Gaset,2001,Downtown Book Center
148,148,380778556,Rebecca,Daphne Du Maurier,1994,Avon
149,149,451525221,Scarlet Letter,Nathaniel Hawthorne,1993,Signet Book
150,150,2740230,Keep It Simple: And Get More Out of Life,Nick Page,1999,Trafalgar Square
151,151,385336772,Diary of a Mad Mom-To-Be,Laura Wolf,2003,Delta
152,152,440949424,Locked in Time (Laurel Leaf Books),LOIS DUNCAN,1986,Laure Leaf
153,153,505524996,Contact,Susan Grant,2002,Love Spell
154,154,140252800,The Brimstone Wedding,Barbara Vine,1997,Penguin Books Ltd
155,155,451452755,The Catswold Portal,Shirley Rousseau Murphy,1993,Roc
156,156,812575482,Through Wolf's Eyes (Wolf),Jane Lindskold,2002,Tor Fantasy
157,157,044651747X,Puerto Vallarta Squeeze,Robert James Waller,1995,Warner Books
158,158,60801263,Tree Grows In Brooklyn,Betty Smith,1988,Harpercollins Publisher
159,159,61030147,"Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies, Marriage, Motherhood, Hollywood, and the Irrepressible Urge to Say What I Think",Cybill Shepherd,2001,Avon Books
160,160,140250964,Snow Angels,Stewart O'Nan,1995,Penguin Books
161,161,446527165,Wish You Well,David Baldacci,2000,Warner Books
162,162,671461494,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1982,Pocket
163,163,385337639,Crow Lake (Today Show Book Club #7),Mary Lawson,2003,Delta
164,164,039575514X,My Antonia,Willa Cather,1995,Mariner Books
165,165,451206673,Pen Pals,Olivia Goldsmith,2002,Signet Book
166,166,330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK)
167,167,486284735,Pride and Prejudice (Dover Thrift Editions),Jane Austen,1995,Dover Publications
168,168,671021745,EYE ON CRIME: HARDY BOYS #153,Franklin W. Dixon,1998,Aladdin
169,169,671047612,Skin And Bones,Franklin W. Dixon,2000,Aladdin
170,170,671504282,"LAW OF THE JUNGLE (HARDY BOYS CASE FILE 105) : LAW OF THE JUNGLE (Hardy Boys, The)",Franklin W. Dixon,1995,Simon Pulse
171,171,399138684,The Cat Who Came to Breakfast (Cat Who... (Hardcover)),Lilian Jackson Braun,1994,Putnam Pub Group
172,172,785263292,"If Singleness Is a Gift, What's the Return Policy?",Holly Virden,2003,Nelson Books
173,173,830714014,Always Daddy's Girl: Understanding Your Father's Impact on Who You Are,H. Norman Wright,1989,Regal Books
174,174,345354931,Night Mare (Xanth Novels (Paperback)),Piers Anthony,1990,Del Rey Books
175,175,553278223,The Martian Chronicles,RAY BRADBURY,1984,Spectra
177,177,3257233051,Veronika Deschliesst Zu Sterben / Vernika Decides to Die,Paolo Coelho,2002,Distribooks
179,179,3423116714,Die Klone der Joanna May. Roman.,Fay Weldon,1993,Dtv
180,180,3423241489,Ist mein Hintern wirklich so dick? Tagebuch einer empfindsamen Frau.,Arabella Weir,1998,Dtv
181,181,3426605686,Haifischfrauen.,Kiana Davenport,1996,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co."
182,182,3453212150,Die Cappuccino- Jahre. Aus dem Tagebuch des Adrian Mole.,Sue Townsend,2002,Heyne
183,183,3499151502,"Hebt den Dachbalken hoch, Zimmerleute / Seymour wird vorgestellt.",Jerome D. Salinger,1998,Rowohlt Tb.
184,184,60977493,The God of Small Things,Arundhati Roy,1998,Perennial
185,185,312872682,The James Dean Affair: A Neil Gulliver &amp; Stevie Marriner Novel,Robert S. Levinson,2000,St Martins Pr
186,186,316602906,The Big Bad Wolf: A Novel,James Patterson,2003,"Little, Brown"
187,187,316693006,Four Blind Mice,James Patterson,2002,"Little, Brown"
188,188,345311396,Private Screening,Richard North Patterson,1994,Ballantine Books
189,189,345378490,Congo,Michael Crichton,1995,Ballantine Books
190,190,345404793,Protect and Defend,Richard North Patterson,2001,Ballantine Books
191,191,345433173,The Tall Pine Polka,Lorna Landvik,1999,Ballantine Books
192,192,375400117,Memoirs of a Geisha,Arthur Golden,1997,Alfred A. Knopf
193,193,375705856,Plainsong (Vintage Contemporaries),KENT HARUF,2000,Vintage
194,194,380717018,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1992,Avon
195,195,380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993,Avon
196,196,380754509,The Case of the Lost Look-Alike (An Avon Camelot Book),Carol J. Farley,1988,Avon Books
197,197,038076654X,Petals on the River,Kathleen E. Woodiwiss,1997,Avon Trade
198,198,380807866,The Elusive Flame,Kathleen E. Woodiwiss,1999,Avon
199,199,385316895,Legacy of Silence,Belva Plain,1998,Bantam Dell Pub Group
200,200,385497466,The Brethren,JOHN GRISHAM,2000,Doubleday
201,201,385508042,The King of Torts,John Grisham,2003,Doubleday Books
202,202,385509456,The Curious Incident of the Dog in the Night-Time : A Novel,MARK HADDON,2003,Doubleday
203,203,385511612,Bleachers,John Grisham,2003,Doubleday
204,204,385730586,Sisterhood of the Traveling Pants,ANN BRASHARES,2003,Delacorte Books for Young Readers
205,205,425164403,Only Love (Magical Love),Erich Segal,1998,Berkley Publishing Group
206,206,440234964,All or Nothing (Wheeler Large Print Books),Elizabeth Adler,2000,Island
207,207,446605484,Roses Are Red (Alex Cross Novels),James Patterson,2001,Warner Vision
208,208,446610399,The Rescue,Nicholas Sparks,2001,Warner Books
209,209,449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books
210,210,449911004,Patty Jane's House of Curl (Ballantine Reader's Circle),LORNA LANDVIK,1996,Ballantine Books
211,211,451162072,Pet Sematary,Stephen King,1994,Signet Book
212,212,451186648,Silent Snow,Steve Thayer,2000,Signet Book
213,213,452282152,Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books
214,214,051513290X,Summer of Storms,Judith Kelman,2002,Jove Books
215,215,553580388,The Patient,Michael Palmer,2001,Bantam Books
216,216,590598848,"Demona's Revenge (Gargoyles, No. 2)",Francine Hughes,1995,Scholastic
217,217,590629719,Clifford's Sports Day,Norman Bridwell,1996,Scholastic
218,218,671023616,Postmortem (Kay Scarpetta Mysteries (Paperback)),Patricia Cornwell,1998,Pocket
219,219,671027387,Deception Point,Dan Brown,2002,Pocket
220,220,684848783,Tis : A Memoir,Frank McCourt,1999,Scribner
221,221,743486226,Angels &amp; Demons,Dan Brown,2003,Atria
222,222,786863986,A Monk Swimming,Malachy McCourt,1998,Hyperion
223,223,803251718,Crazy Horse,Mari Sandoz,1961,University of Nebraska Press
224,224,804117934,The Silent Cry (William Monk Novels (Paperback)),Anne Perry,1998,Ivy Books
225,225,140003180X,The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency),ALEXANDER MCCALL SMITH,2004,Anchor
226,226,155874262X,Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,1993,Health Communications
227,227,60987103,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1996,Regan Books
228,228,151008116,Life of Pi,Yann Martel,2002,Harcourt
229,229,375704965,A Judgement in Stone,Ruth Rendell,2000,Vintage Books USA
230,230,525947647,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,2003,Dutton Books
231,231,804111359,Secret History,DONNA TARTT,1993,Ballantine Books
232,232,1558744150,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996,Health Communications
233,233,435272683,Great Expectations (Heinemann Guided Readers),John Milne,1995,Delta Systems
234,234,316782505,The Weight of Water,Anita Shreve,2001,"Little, Brown"
235,235,006102063X,Moving Pictures (Discworld Novels (Paperback)),Terry Pratchett,2002,HarperTorch
236,236,60013117,Night Watch,Terry Pratchett,2002,HarperCollins
237,237,60199563,Thief of Time,Terry Pratchett,2001,HarperCollins Publishers
238,238,006052779X,Charlotte's Web Book and Charm (Charming Classics),E. B. White,2003,HarperFestival
239,239,60563079,Peter Pan: The Original Story (Peter Pan),J. M. Barrie,2003,HarperFestival
240,240,60809027,My Friend Flicka,Mary O'Hara,1988,Perennial
241,241,61040967,The Last Hero : A Discworld Fable (Discworld Novels (Hardcover)),Terry Pratchett,2001,HarperCollins
242,242,61050474,Jingo: A Discworld Novel (Discworld Series/Terry Pratchett),Terry Pratchett,1998,HarperPrism
243,243,61052515,"Maskerade: A Novel of Discworld (Pratchett, Terry. Discworld Series (New York, N.Y.).)",Terry Pratchett,1997,HarperPrism
244,244,61052523,Interesting Times: A Novel of Discworld,Terry Pratchett,1997,Harpercollins
245,245,64472264,"On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson",Louise Rennison,2002,HarperTempest
246,246,140620664,Mansfield Park (Penguin Popular Classics),Jane Austen,1994,Penguin Books Ltd
247,247,312148267,The Wind in the Willows,Kenneth Grahame,1996,St. Martin's Press
248,248,312156960,The Winter King: A Novel of Arthur (The Warlord Chronicles: I),Bernard Cornwell,1997,St. Martin's Griffin
249,249,312890044,Moonheart (Newford),Charles de Lint,1994,Orb Books
250,250,034543191X,The King of Elfland's Daughter (Del Rey Impact),Edward John Moreton Drax Plunkett Dunsany,1999,Del Rey Books
251,251,373836023,Powder and Patch,Georgette Heyer,2004,Harlequin
252,252,375751513,The Picture of Dorian Gray (Modern Library (Paperback)),OSCAR WILDE,1998,Modern Library
253,253,375801677,The Iron Giant,Ted Hughes,1999,Knopf Books for Young Readers
254,254,375814248,James and the Giant Peach,ROALD DAHL,2002,Knopf Books for Young Readers
255,255,375823352,"The Amber Spyglass (His Dark Materials, Book 3)",PHILIP PULLMAN,2002,Knopf Books for Young Readers
256,256,037582345X,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,2002,Knopf Books for Young Readers
257,257,375823468,"The Subtle Knife (His Dark Materials, Book 2)",PHILIP PULLMAN,2002,Knopf Books for Young Readers
258,258,380730448,"The Adrian Mole Diaries : The Secret Diary of Adrian Mole, Aged 13 3/4 : The Growing Pains of Adrian Mole",Sue Townsend,1997,Perennial
259,259,380973839,Martian Chronicles,Ray Bradbury,1997,William Morrow
260,260,385327773,The Great God Pan,Donna Jo Napoli,2003,Wendy Lamb Books
261,261,394586239,Possession: A Romance,A. S. Byatt,1990,Random House Inc
262,262,439510112,Born Confused,Tanuja Desai Hidier,2003,Push
263,263,440241413,Confessions of a Shopaholic,SOPHIE KINSELLA,2003,Dell
264,264,451409256,Making Minty Malone,Isabel Wolff,2000,Onyx Books
265,265,451523415,Little Women (Signet Classic),Louisa May Alcott,1988,Signet Classics
266,266,451526279,Emma (Signet Classics (Paperback)),Jane Austen,1996,Signet Classics
267,267,451526341,Animal Farm,George Orwell,2004,Signet
268,268,486415864,Great Expectations (Dover Thrift Editions),Charles Dickens,2001,Dover Publications
269,269,553280589,Eva Luna,Isabel Allende,1989,Bantam Books
271,271,670035262,The Green Man : Tales from the Mythic Forest,Ellen Datlow,2002,Viking Juvenile
272,272,679423079,Nicholas Nickleby (Everyman's Library),Charles Dickens,1993,Alfred A. Knopf
273,273,679751343,Angels &amp; Insects : Two Novellas,A.S. BYATT,1994,Vintage
274,274,684833395,Catch 22,Joseph Heller,1996,Simon &amp; Schuster
275,275,743245024,The Forsyte Saga : The Man of Property and In Chancery,John Galsworthy,2002,Touchstone
276,276,749748001,The Enchanted Wood,Enid Blyton,2002,Egmont Childrens Books
277,277,749748028,The Folk of the Faraway Tree,Enid Blyton,2002,Egmont Childrens Books
278,278,963094424,Angels and Visitations: A Miscellany,Neil Gaiman,1993,Dreamhaven Books
279,279,1401201172,"League of Extraordinary Gentlemen, Vol. 2 (Comic)",Alan Moore,2003,DC Comics
280,280,1563892278,"Preludes and Nocturnes (Sandman, Book 1)",Neil Gaiman,1998,DC Comics
281,281,1563898586,"The League of Extraordinary Gentlemen, Vol. 1",Alan Moore,2002,DC Comics
282,282,156971620X,Harlequin Valentine,Neil Gaiman,2002,Dark Horse Comics
283,283,1592571301,Alpha Teach Yourself American Sign Language in 24 Hours (Alpha Teach Yourself in 24 Hours),Trudy Suggs,2003,Alpha Books
284,284,374270325,A Man in Full,Tom Wolfe,1998,Farrar Straus &amp; Giroux
285,285,375719180,The Miracle Life of Edgar Mint: A Novel,Brady Udall,2002,Vintage Books USA
286,286,440235502,October Sky: A Memoir,Homer Hickam,1999,Dell
287,287,044023722X,A Painted House,John Grisham,2001,Dell Publishing Company
288,288,1573225487,The Romance Reader,Pearl Abraham,1996,Riverhead Books
289,289,1853260673,Far from the Madding Crowd (Wordsworth Classics),Thomas Hardy,1997,NTC/Contemporary Publishing Company
290,290,60977477,The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,1999,Perennial
291,291,345391691,The Battle for God,Karen Armstrong,2001,Ballantine Books
292,292,520011171,Sappho: A New Translation,Mary Barnard,1958,University of California Press
293,293,553278746,The Postman (Bantam Classics),David Brin,1990,Spectra Books
294,294,670856045,The Tortilla Curtain,T. Coraghessan Boyle,1995,Viking Books
295,295,872200760,Symposium,Paul Woodruff,1989,Hackett Pub Co Inc
296,296,937858994,The What's Happening to My Body? Book for Boys: A Growing Up Guide for Parents and Sons,Lynda Madaras,1987,W W Norton &amp; Co
297,297,671649949,OBJECT AFFECTION,Stephen McCauley,1988,Washington Square Press
298,298,590431110,The Journey Home,Isabelle Holland,1993,Scholastic Paperbacks (Mm)
299,299,64470113,Taking the Ferry Home,Pam Conrad,1990,Harpercollins Juvenile Books
300,300,553571486,Angel of Hope (Mercy Trilogy),Lurlene McDaniel,2000,Starfire
301,301,972044205,The Breach,Brian Kaufman,2002,Last Knight Pub Co
302,302,312963009,Neanderthal: A Novel,John Darnton,1997,St. Martin's Press
303,303,345430476,A Small Dark Place,Martin Schenk,1999,Ballantine Books
304,304,345435869,The Rivan Codex : Ancient Texts of THE BELGARIAD and THE MALLOREON,DAVID EDDINGS,1999,Del Rey
305,305,380728729,Babyhood,Paul Reiser,1998,Avon
306,306,038081840X,Year's Best Fantasy (Year's Best Fantasy),David G. Hartwell,2001,Eos
307,307,449912302,Dave Barry in Cyberspace,Dave Barry,1997,Ballantine Books
308,308,055329198X,Wolf Moon,John R. Holt,1997,Bantam
