,User-ID,ISBN,Book-Rating
19537,11676,034540288X,10
19705,11676,037321801X,5
19780,11676,037361926X,10
20099,11676,038082101X,8
20197,11676,038542471X,10
20475,11676,042506784X,6
20513,11676,042511984X,8
20523,11676,042513525X,8
20857,11676,044023722X,8
20954,11676,044173118X,6
21027,11676,044651652X,8
21188,11676,044809505X,5
21568,11676,048627067X,10
21641,11676,051512608X,7
21664,11676,051513287X,10
21669,11676,051513399X,10
22042,11676,055356658X,10
22212,11676,059035342X,10
22262,11676,059045367X,8
22406,11676,067100042X,5
22461,11676,067102423X,8
22472,11676,067103264X,8
22599,11676,067172262X,9
23127,11676,073944042X,10
23147,11676,074320607X,9
23399,11676,075640049X,1
23408,11676,075820440X,8
23872,11676,082177364X,8
23875,11676,082177462X,10
24311,11676,1400031346,9
24312,11676,1400031354,8
24374,11676,1551664348,5
24376,11676,1551664372,5
24386,11676,1551666138,6
24389,11676,155166674X,9
24391,11676,1551666928,8
24399,11676,1551667363,7
24406,11676,1551668009,6
24408,11676,1551668114,9
24419,11676,1551669129,8
24427,11676,1551669587,2
24454,11676,1556612257,8
24478,11676,155874262X,7
24479,11676,1558744142,6
24480,11676,1558744150,10
24481,11676,1558744606,10
24482,11676,1558745157,10
24483,11676,1558745629,9
24484,11676,1558745718,8
24486,11676,1558747109,10
24487,11676,1558747613,7
24605,11676,1573227331,5
24607,11676,1573229326,7
24608,11676,1573229571,7
24673,11676,1583755462,8
24749,11676,1853260002,10
24750,11676,1853260150,7
24752,11676,185326024X,5
24753,11676,1853260436,6
24763,11676,1853262447,6
24950,11676,2070360377,8
24988,11676,2070518426,7
24989,11676,2070528189,7
25030,11676,2253009199,8
25033,11676,2253029335,3
25039,11676,2253049417,8
25067,11676,2264023805,4
25068,11676,2264030305,8
25094,11676,2277302686,4
25116,11676,2702426328,5
25156,11676,3150099420,7
25179,11676,3257211945,9
25184,11676,3257224451,7
25225,11676,3404130081,6
25226,11676,3404130197,7
25227,11676,3404131606,5
25338,11676,3442421292,8
25397,11676,3442723078,9
25414,11676,3453025237,4
25424,11676,3453071174,8
25445,11676,3453160797,8
25447,11676,3453168798,9
25478,11676,3462025864,5
25484,11676,3462032208,8
25494,11676,347352025X,8
25577,11676,350507585x,7
25612,11676,3548253881,10
25756,11676,3895080985,7
25829,11676,8401242576,7
25844,11676,840147468X,6
25849,11676,8401496764,8
25869,11676,8408039636,7
25961,11676,8427285035,10
26029,11676,8440629540,7
26064,11676,8466306625,8
26068,11676,8466609016,7
26147,11676,8483105365,6
26151,11676,8484036383,6
26271,11676,880781000X,7
26445,11676,9500718863,10
26666,11718,044023722X,8
26751,11788,034540288X,9
26853,11916,059035342X,7
26866,11924,1558744630,3
26867,11924,1558746161,3
26887,11944,067945540X,8
27008,11993,1556610025,8
27010,11993,1556610351,7
27011,11993,1556610599,8
27012,11993,1556610866,9
27013,11993,1556612257,7
27014,11993,155661683X,8
27093,12100,051743623X,8
27232,12189,8401492335,5
27239,12189,8475670369,8
27267,12202,1558743316,7
27324,12272,043935806X,10
27339,12273,3462032208,7
27393,12333,044023722X,7
27627,12538,067100042X,7
27629,12538,067102423X,8
27682,12538,1558745718,10
27686,12538,1885173997,9
27698,12567,044651652X,9
27768,12591,3785538448,4
27807,12650,8401375924,6
27808,12650,8401493196,7
28025,12803,042513024X,9
28041,12820,155874262X,8
28071,12824,067103264X,8
28170,12835,3257008724,7
28173,12835,325721605X,7
28174,12835,3257218370,7
28239,12835,3596282225,7
28530,12982,1586633503,8
28670,13082,043935806X,10
28745,13126,060303294X,9
28921,13273,068487217X,8
28932,13273,076422249X,9
28952,13273,1400031346,8
28953,13273,1551666901,8
28982,13280,038542471X,9
28993,13312,8425318599,5
29105,13432,034538475X,10
29134,13506,1573229326,3
29152,13518,059048351X,9
29286,13552,042513525X,8
29327,13552,044651652X,8
29350,13552,051512317X,7
29356,13552,051513628X,8
29992,13973,155874262X,2
29993,13973,1558744630,2
30093,14079,1593080255,8
30116,14079,8445070320,10
30377,14363,043935806X,9
30393,14374,051511779X,6
30431,14387,1400034779,9
30529,14422,044651652X,7
30556,14422,068484267X,5
30569,14422,1400034779,9
30571,14422,155874262X,7
30572,14422,1558743316,7
30584,14444,3453071174,9
30617,14451,014062080X,7
30620,14451,068484267X,5
30625,14451,1853260142,9
30716,14461,067103264X,8
30719,14461,3404130014,7
30721,14461,3404131606,8
30722,14461,3404132998,8
30730,14461,3453003128,8
30731,14461,3453021347,8
30732,14461,3453023099,10
30733,14461,3453036972,8
30734,14461,3453088883,9
30889,14623,067102423X,10
30997,14683,1551660202,7
30998,14683,1551660504,8
31112,14768,1558747028,8
31196,14958,8401492343,7
31202,14958,8401496608,8
31203,14958,8401496616,8
31204,14958,8401496772,7
31253,14958,8440631537,8
31255,14958,844063787X,8
31272,14958,8478885196,7
31292,14966,1558744215,10
31444,15049,1558744606,6
31445,15049,1558748903,8
31536,15150,8478884459,9
31538,15151,8445071416,8
31927,15418,1853260827,10
31928,15418,1853261823,10
31929,15418,1853262447,7
31930,15418,1853262641,8
31931,15418,1853262684,8
31936,15418,8401375924,7
31937,15418,8401462924,10
31951,15418,8466301569,5
31955,15418,950072040X,7
31956,15418,9505812744,10
32058,15527,1573225517,10
32059,15527,1573227331,8
32110,15589,2070364283,8
32122,15589,2290312908,8
32164,15623,044023722X,8
32167,15632,1853260002,9
32334,15819,048640885X,9
32461,15951,880781000X,5
32569,16019,059035342X,9
32612,16062,034540288X,8
32692,16106,1400034779,10
32724,16121,1573229571,5
32838,16161,1558748865,7
33007,16287,844065880X,6
33076,16400,155166674X,8
33219,16538,006100278X,5
33283,16599,034538475X,6
33459,16634,044651490X,9
33654,16643,034536676X,8
33704,16673,844065944X,7
33717,16687,067102423X,8
33747,16717,042510107X,9
33786,16718,155874262X,9
33787,16718,1558743316,8
33849,16777,1853262447,10
34051,16795,034538430X,5
34274,16795,044651652X,9
34275,16795,044651747X,8
34460,16795,059056885X,5
34793,16795,1558743669,10
34794,16795,1558744150,8
34795,16795,1558744215,8
34796,16795,155874424X,8
34797,16795,1558745017,7
34798,16795,1558748865,8
34827,16795,1573229326,9
34940,16877,034539657X,7
35019,16941,1853260002,10
35370,17046,039915079X,8
35371,17046,042510107X,9
35437,17156,034538430X,9
35580,17190,076422249X,6
35687,17282,1551665956,6
35873,17578,3257224451,8
35874,17578,3257224915,10
35876,17578,3257229666,8
35879,17578,3499150425,9
36099,17789,2277233854,6
36105,17792,3518397362,8
36190,17906,044023722X,10
36195,17906,1400031354,7
36258,17950,014034294X,8
36296,17950,044651652X,9
36364,17950,068484267X,5
36394,17950,1558743316,10
36395,17950,1558744029,8
36396,17950,1558744150,8
36403,17950,1851523138,5
36458,18004,059045370X,1
36612,18095,1558746099,10
36633,18112,034539657X,8
36653,18134,3551551693,10
36727,18172,044651652X,9
36758,18196,2253152455,8
36761,18203,034540288X,8
36960,18384,8440677715,6
36962,18384,8445071963,5
37060,18401,1551666928,8
37071,18411,043935806X,10
37146,18494,2253025488,9
37202,18601,1551669129,5
37244,18682,1400031362,6
37265,18710,1558745718,8
37440,18979,051513399X,7
37444,18979,1551669587,4
37565,19085,042513525X,8
37694,19153,044651652X,7
37823,19362,051513287X,10
37891,19478,155166674X,9
37944,19493,1551669307,10
37990,19556,1853260320,7
38004,19570,067100042X,5
38027,19573,038082101X,6
38028,19573,044023722X,10
38034,19573,1400031354,9
38048,19586,1551667363,10
38069,19611,3453042905,9
38070,19611,3453058607,8
38099,19659,067102423X,8
38145,19664,067172262X,8
38194,19707,1573229326,5
38343,19807,3453007867,8
38432,19969,034540288X,3
38497,19974,1400031354,9
38556,20034,044023722X,6
38707,20119,059035342X,10
38708,20119,1558744150,7
38734,20149,051512608X,7
38994,20265,1573225517,9
39169,20427,3150000734,9
39230,20468,155874262X,8
39271,20545,1558746161,8
39318,20622,038542471X,9
39324,20627,006019491X,9
39385,20680,1400034779,8
39401,20703,1400031354,8
39402,20703,1400031362,8
39403,20703,1558745718,7
39454,20799,039915079X,7
39658,20983,1551668769,6
39709,21011,1558745157,7
39744,21014,014017737X,7
39896,21014,1573229571,2
39947,21031,1570422877,9
39952,21039,1558743766,10
39977,21070,345502498X,9
40004,21097,8445071416,9
40019,21115,014004261X,9
40085,21202,044809505X,5
40092,21203,1853260045,9
40191,21257,034539092X,8
40193,21257,044023722X,8
40217,21283,1853260320,9
40219,21300,1558749780,8
40432,21404,1558742913,6
40433,21404,1853260282,7
40499,21484,059035342X,9
40624,21576,043935806X,9
40659,21576,1400031354,6
40660,21576,1400031362,6
40737,21649,1558746463,8
40767,21659,044651652X,10
40851,21717,1558745432,8
40941,21870,059035342X,9
41039,21937,1573229571,9
41132,22045,044023722X,10
41191,22074,044023722X,9
41206,22074,1400034779,9
41271,22126,1880418592,7
41336,22186,034536676X,9
41372,22241,043935806X,8
41552,22418,067100042X,10
41688,22547,014030164X,5
41784,22625,043935806X,10
41796,22625,059035342X,10
41872,22688,059035342X,7
41895,22720,3404130359,6
41999,22818,059035342X,10
42076,22885,055315186X,10
42147,22924,1853260568,7
42158,22936,059035342X,10
42175,22968,042513525X,2
42203,22991,3453129393,10
42204,22991,3453131274,7
42206,22991,3453161599,10
42209,22991,3453171861,5
42238,23032,044023722X,8
42296,23127,844507038X,10
42297,23127,8445071521,9
42334,23181,059035342X,10
42348,23200,3453130529,5
42518,23325,8445071416,8
42547,23385,3453007867,8
42580,23415,8466611622,9
42791,23571,067172262X,10
42884,23635,155661246X,7
42947,23664,059035342X,10
43023,23699,1573229571,7
43260,23768,1400031346,8
43396,23848,059035342X,10
43438,23871,1551666022,9
43439,23871,1551666138,8
43532,23872,034538475X,8
43889,23872,1551660504,5
43901,23872,1558743669,8
43902,23872,1558745157,10
43933,23872,1853264253,10
44441,23902,034536676X,10
44442,23902,034536743X,10
44569,23902,044023722X,6
44867,23902,068484267X,7
44959,23902,074347712X,10
45173,23902,1559278323,7
45185,23902,1572702087,8
45186,23902,1572702095,7
45187,23902,1572702338,6
45188,23902,1572702362,6
45189,23902,1572703164,5
45190,23902,157270330X,6
45191,23902,1573229326,8
45414,23948,038542471X,10
45560,24172,059084766X,5
45594,24186,043935806X,9
45752,24215,059035342X,9
45762,24220,044023722X,9
45800,24314,044023722X,8
45861,24391,039915079X,8
45966,24452,006105691X,10
45972,24452,155874875X,8
46032,24525,044023722X,7
46039,24525,1573223565,8
46185,24627,044651652X,6
46522,24921,1551665247,5
46603,24933,155166013X,6
46840,25177,1856953874,8
47168,25409,043935806X,10
47261,25409,1400031346,10
47263,25409,1566192951,10
47354,25441,8448040023,10
47366,25453,042515601X,7
47411,25474,038518400X,5
47492,25580,042510107X,5
47502,25583,044023722X,10
47769,25798,1558743790,8
47960,25916,042516926X,6
47977,25919,043935806X,10
47982,25919,059035342X,8
48017,25955,2253002887,6
48038,25966,1400031354,8
48206,25981,042509345X,10
48375,25981,1551660431,5
48378,25981,155166674X,5
48380,25981,1551668912,5
48406,26017,1400034779,8
48431,26049,1558743669,6
48479,26084,059035342X,9
48522,26094,3426600218,8
48612,26143,051513287X,6
48661,26153,1551668432,9
48680,26190,059035342X,9
48737,26231,1558745041,7
48776,26249,044023722X,8
48843,26361,155874262X,7
48856,26371,039915079X,8
48896,26421,1558743669,10
48928,26443,2070364283,8
49157,26535,037361893X,5
49287,26535,1551660946,5
49288,26535,1551668432,5
49289,26535,1556613628,5
49300,26538,059045367X,10
49304,26538,1558743669,5
49305,26538,1558745157,5
49421,26553,034538475X,5
49468,26583,014015020X,10
49527,26583,068484267X,10
49723,26618,042513024X,8
49801,26621,1885173997,10
49858,26694,155874262X,7
49934,26761,1573225517,8
50123,26898,8481300977,10
50453,27169,1551668769,8
50524,27265,038082101X,9
50558,27304,1558746161,10
50646,27381,006019491X,7
50844,27586,1558744630,10
51114,27647,1400034779,8
51176,27704,067102423X,9
51252,27744,3453061314,9
51253,27744,3453099524,6
51293,27794,1558747613,10
51324,27812,059035342X,8
51476,27875,1558744592,8
51602,28016,014015020X,10
51689,28091,044023722X,8
51707,28109,1551669307,5
51715,28123,044023722X,9
51717,28133,067100042X,8
51722,28139,042510107X,3
51733,28144,042511984X,5
51736,28144,044023722X,2
51748,28150,043935806X,9
51826,28177,1558743669,9
51868,28204,038542471X,9
52005,28255,1853260045,8
52007,28255,1853260282,9
52008,28255,1853260436,7
52047,28313,3426612704,8
52066,28360,055327970x,7
52155,28451,037348397X,8
52162,28451,039914627X,8
52167,28451,051513287X,8
52295,28523,067172262X,10
52368,28537,3518381768,10
52369,28537,3518383973,10
52404,28548,1558742913,8
52597,28591,1551664186,5
52598,28591,1551664372,7
52605,28591,1583754342,8
52642,28594,059035342X,9
52716,28619,044651652X,10
52738,28619,1558744150,10
52822,28634,044023722X,9
52824,28634,044651652X,10
52872,28634,068484267X,10
52900,28634,1551668912,7
52991,28693,1558747028,10
53001,28700,1551669293,7
53093,28795,038082101X,8
53349,29041,068484267X,8
53592,29133,019282760X,10
53836,29259,155874262X,10
53837,29259,1558744150,10
53838,29259,1558744630,10
53940,29419,042513525X,5
53972,29482,043935806X,7
54015,29523,1853260827,9
54087,29526,067945540X,10
54147,29570,034540288X,8
54184,29677,059035342X,10
54309,29855,044651652X,9
54334,29867,051512947X,10
54338,29867,1551660598,8
54379,29905,1556613628,7
54380,29905,1556618786,7
54381,29905,1556619340,7
54580,30052,1573225517,5
54663,30116,1573227331,8
54675,30120,1558743669,8
54775,30219,067102423X,10
55140,30276,068484267X,7
55185,30276,1551662604,6
55187,30276,1551665956,6
55188,30276,1551666170,8
55193,30276,1551668300,6
55197,30276,156054175X,9
55245,30316,1400031354,5
55287,30333,067102423X,5
55395,30445,014034294X,10
55397,30445,014036837X,10
55410,30445,043935806X,10
55440,30461,042515601X,7
55505,30487,044023722X,8
55552,30491,059035342X,10
55840,30511,1573227331,6
55862,30531,014017737X,10
55937,30533,059035342X,9
56006,30560,034536743X,8
56054,30594,044023722X,5
56080,30610,044651652X,10
56229,30711,043935806X,8
56305,30711,1558743669,8
56440,30727,3257218370,10
56452,30727,3462025244,8
56528,30735,043935806X,10
56578,30735,059035342X,10
56778,30806,1853260436,7
56866,30810,3453007573,9
56867,30810,3453024370,8
56868,30810,3453028724,8
56870,30810,3453196155,9
56871,30810,3453864999,9
57038,30898,068807510X,9
57078,30933,051512608X,9
57111,30968,044023722X,8
57138,30972,042513525X,8
57144,30972,044023722X,9
57193,30980,038082101X,8
57267,30994,044023722X,9
57389,31040,1558744150,10
57390,31040,1558745017,8
57391,31040,1558745645,8
57468,31078,059035342X,8
57496,31094,014004261X,7
57578,31139,038541627X,9
57597,31144,1551664348,9
57616,31158,1400034779,4
57713,31250,1558743316,5
57757,31285,1558743790,7
57945,31315,051511779X,8
58110,31315,155166674X,7
58112,31315,1558748865,8
58139,31332,044651652X,7
58273,31391,1400031346,10
58305,31393,034536676X,8
58338,31393,059035342X,10
58413,31429,1558743669,4
58539,31500,1558745157,9
58579,31541,1573229326,7
58636,31556,034529873X,8
58734,31556,059035342X,8
58877,31556,1558743669,8
58915,31594,044651652X,5
58979,31652,051512608X,5
59028,31683,044651652X,10
59158,31826,006105531X,10
59183,31826,034538430X,10
59188,31826,034539657X,10
59217,31826,039913817X,10
59236,31826,042511984X,10
59242,31826,042513525X,10
59359,31826,067102423X,10
59368,31826,067164226X,10
59515,31826,096546377X,10
59580,31846,037542217X,9
59611,31846,1400034779,9
59632,31860,1400034779,7
59700,31922,059035342X,10
59732,31950,044651652X,9
59963,32122,043935806X,10
60008,32148,1551665557,6
60106,32219,1400034779,7
60170,32250,155661683X,8
60211,32329,051513287X,9
60225,32346,1558745157,10
60512,32575,059043571X,7
60551,32625,8489592098,9
60656,32694,034536676X,8
60733,32721,1400031354,8
60819,32754,2253151408,7
60893,32773,044809505X,9
60930,32773,059035342X,9
60935,32773,067148852X,10
60941,32773,067172262X,10
61046,32847,3453007867,6
61085,32942,037348397X,10
61120,32966,1856953874,7
61126,32991,1558743669,9
61179,33030,155817169X,10
61391,33145,2264023805,3
61392,33145,2264023813,3
61483,33179,034536676X,10
61551,33200,155874262X,9
61573,33208,3442430496,6
61597,33264,039915079X,7
61777,33408,9504906338,9
61841,33474,044023722X,10
61934,33576,043935806X,10
61982,33580,1558749780,7
62011,33597,037303119X,5
62104,33762,1551668912,7
62138,33816,044023722X,7
62199,33818,1558747060,7
62258,33834,1400034779,8
62396,33905,340424267X,8
62400,33905,3426701960,7
62413,33933,034529873X,8
62459,33943,2253002887,8
62466,33943,2266080687,9
62629,33981,044023722X,5
62648,33999,044651652X,8
62682,34052,8445071416,9
62747,34133,044651652X,10
62874,34300,034540288X,5
62930,34300,185326024X,5
62940,34318,3453210697,7
62964,34377,037321877X,7
62984,34398,017443460X,10
63039,34501,1551665859,4
63052,34521,3257211945,5
63152,34588,034538475X,8
63153,34588,034540288X,7
63185,34588,1559703237,10
63339,34748,042513525X,9
63489,34904,8427285205,7
63559,34988,155166674X,10
63646,35073,039914563X,7
63679,35099,3453061187,7
63696,35143,1558743669,9
63714,35148,043935806X,10
63715,35148,059035342X,10
63933,35407,3257018509,8
63945,35407,3423107863,9
63956,35407,3442353238,6
63978,35407,3453127013,8
63982,35407,345321093X,6
64039,35424,068484267X,8
64043,35427,3596102871,7
64047,35433,3257056052,10
64050,35433,3257229666,9
64059,35433,3404130014,9
64060,35433,3404130081,9
64063,35433,3404139585,9
64074,35433,3426600218,9
64088,35433,3442415578,7
64093,35433,344243193X,9
64107,35433,3453003128,8
64108,35433,3453007867,8
64109,35433,3453021347,9
64111,35433,3453036972,9
64114,35433,3453052544,10
64115,35433,3453061187,9
64117,35433,3453074971,9
64118,35433,345308909X,9
64120,35433,3453092201,8
64124,35433,345309994X,10
64125,35433,3453116143,8
64126,35433,3453123867,9
64127,35433,3453124499,10
64128,35433,345312507X,8
64130,35433,3453129520,9
64132,35433,3453147596,5
64133,35433,3453157931,8
64134,35433,3453159926,8
64135,35433,3453160819,9
64136,35433,3453162935,9
64140,35433,3453210697,8
64145,35433,3453864980,8
64146,35433,3453868560,9
64147,35433,345386980X,8
64148,35433,3455024920,9
64149,35433,3455024947,9
64151,35433,3455024971,9
64153,35433,3455062644,8
64164,35433,3499150425,10
64176,35433,3548252729,9
64177,35433,3548253326,9
64178,35433,3548253881,9
64179,35433,3548254152,7
64183,35433,3550071434,8
64184,35433,355008353X,8
64189,35433,3596282225,6
64237,35445,1558745718,7
64284,35484,3453171977,8
64294,35486,3453071174,5
64296,35486,3499150425,10
64303,35487,344243193X,6
64331,35508,034539092X,8
64398,35599,014017737X,8
64505,35707,044023722X,8
64559,35718,3502517371,8
64568,35720,3746655552,8
64581,35739,3426612704,8
64651,35831,044023722X,9
64664,35836,034539657X,5
64917,35857,1558744150,8
65270,35859,044809505X,9
65384,35859,059035342X,10
65416,35859,067100042X,7
65638,35859,081674291X,7
65702,35859,1558744215,8
65703,35859,155874424X,9
65704,35859,1558745017,9
65705,35859,1558745157,8
65761,35865,1558744150,9
66040,36003,043935806X,10
66050,36003,1400034779,7
66051,36003,1558744592,8
66052,36003,1558744630,9
66053,36003,1558745432,8
66110,36103,1573229326,8
66116,36110,3404130014,9
66252,36229,1558743669,8
66253,36231,044023722X,5
66525,36327,055326138X,7
66543,36327,155874262X,10
67026,36606,1558746463,5
67027,36606,1558747109,5
67159,36622,155874424X,9
67161,36624,044023722X,3
67301,36715,1573225517,10
67302,36715,1573227331,9
67304,36715,1853260169,10
67307,36718,1853261947,8
67417,36802,059035342X,8
67700,36907,034536676X,10
67705,36907,034540047X,10
67847,36956,067102423X,8
67877,36978,044651652X,10
