,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
1486,0671793489,All Around The Town,Mary Higgins Clark,1993,Pocket Star
1487,0174434642,Othello (3Rd Series),William Shakespeare,1996,Thomas Nelson Publishers
1495,0451523067,Emma,Jane Austen,1994,New Amer Library Classics
1497,0451526295,Mansfield Park (Signet Classics (Paperback)),Jane Austen,1996,Signet Book
1499,0451187903,Sense And Sensibility,Jane Austen,1995,Signet Book
1505,0671004565,We'Ll Meet Again,Mary Higgins Clark,2000,Pocket
1523,0679729917,The Best Of Roald Dahl,Roald Dahl,1990,Vintage Books USA
1532,0486280616,Adventures Of Huckleberry Finn (Dover Thrift Editions),Mark Twain,1994,Dover Publications
1534,0671032658,The Green Mile,Stephen King,1999,Pocket
1557,0380012774,The Importance Of Being Earnest,Oscar Wilde,1976,Avon
1580,3453151933,Tom Clancys Power Plays 2. Tigerjagd.,Tom Clancy,1999,Heyne
1600,0743212002,Deck The Halls,Mary Higgins Clark,2000,Simon &amp; Schuster
1609,037348397X,The Donovan Legacy,Nora Roberts,1999,Harlequin
1621,2070364283,La Perle,John Steinbeck,1973,Gallimard
1643,082176828X,What You Wish For,Fern Michaels,2001,Zebra Books
1647,0064410358,"No Survivors (Nightmare Room Thrillogy, 3)",R. L. Stine,2001,Avon Books
1656,0345367898,Witching Hour (Lives Of The Mayfair Witches),Anne Rice,1991,Ballantine Books
1679,0684835983,Before I Say Good-Bye : A Novel,Mary Higgins Clark,2000,Simon &amp; Schuster
1701,1551669501,Diamond Spur,Diana Palmer,2002,Mira
1712,037348285X,Birds Bees And Babies 1994,Nora Roberts,1994,Silhouette
1763,0395177111,The Hobbit (Leatherette Collector'S Edition),J. R. R. Tolkien,1973,Houghton Mifflin Company
1764,0375411992,Blackwood Farm (The Vampire Chronicles),Anne Rice,2002,Alfred A. Knopf
1783,037542217X,The Kalahari Typing School For Men : More From The No. 1 Ladies' Detective Agency,Alexander McCall Smith,2003,Pantheon
1787,0373218192,Engaging The Enemy,Nora Roberts,2003,Silhouette
1788,0515120006,Holding The Dream (Dream Trilogy),Nora Roberts,2001,Jove Books
1799,0525237704,World According To Garp: A Novel,John Irving,1978,Penguin USA
1855,0451200993,Sleeping Murder (Miss Marple Mysteries (Paperback)),Agatha Christie,2000,New American Library
1926,0743457358,Everything'S Eventual : 14 Dark Tales,Stephen King,2002,Pocket
1940,0345434692,The Skies Of Pern,Anne McCaffrey,2002,Del Rey Books
1941,0553131893,Dragondrums,Anne McCaffrey,1980,Bantam Books
1947,034540288X,The Lost World,Michael Crichton,1996,Ballantine Books
1950,0553234609,Dragonsong,Anne McCaffrey,1977,Bantam Books
1951,0553258540,Dragonsinger (Harper Hall Trilogy),Anne McCaffrey,1989,Bantam Books
1971,0448095300,The Clue Of The Velvet Mask (Nancy Drew (Hardcover)),Carolyn Keene,1953,Grosset &amp; Dunlap
1986,0684867621,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner
2012,0671555235,A Caribbean Mystery,Agatha Christie,1984,Pocket
2030,0425115801,Lightning,Dean R. Koontz,1996,Berkley Publishing Group
2033,0671024248,Hearts In Atlantis,Stephen King,2000,Pocket
2034,0553582933,Winter Moon,Dean R. Koontz,2001,Bantam Books
2037,0451151259,Eyes Of The Dragon,Stephen King,1988,Penguin Putnam~mass
2112,0671027123,All Through The Night (Holiday Classics),Mary Higgins Clark,1999,Pocket
2130,037383232X,Sweet Promise,Janet Dailey,1991,Harlequin
2132,0373242328,"The Perfect Neighbor (The Macgregors) (The Macgregors : Special Edition Series, No 1232)",Nora Roberts,1999,Silhouette
2137,0373510225,"Sullivan'S Woman #22 (Nora Roberts : Language Of Love, On 22)",Nora Roberts,1992,Silhouette
2142,0373240228,"Fall Of Shane Mackade (The Mackade Brothers) (Silhouette Special Edition, No 1022)",Nora Roberts,1996,Silhouette
2143,059035342X,Harry Potter And The Sorcerer'S Stone (Harry Potter (Paperback)),J. K. Rowling,1999,Arthur A. Levine Books
2148,0743246918,Silent Night/All Through The Night : Two Christmas Novels,Mary Higgins Clark,2002,Simon &amp; Schuster
2153,0373835426,Witchcraft,Jayne Ann Krentz,2003,Harlequin
2186,0812504364,A Connecticut Yankee In King Arthur'S Court,Mark Twain,1997,Tor Books
2202,0060936363,Portrait In Sepia : A Novel,Isabel Allende,2002,Perennial
2203,038082101X,Daughter Of Fortune: A Novel,Isabel Allende,2001,HarperTorch
2208,1558747028,Chicken Soup For The College Soul : Inspiring And Humorous Stories For College Students (Chicken Soup For The Soul),Jack Canfield,1999,Health Communications
2226,0425162788,Politika (Tom Clancy'S Power Plays (Paperback)),Tom Clancy,1999,Berkley Publishing Group
2242,0671758896,"Loves Music, Loves To Dance",Mary Higgins Clark,1992,Pocket
2244,0451177096,Dolores Claiborne,Stephen King,2004,Signet Book
2246,0345422384,Pandora: New Tales Of The Vampires (New Tales Of The Vampires),Anne Rice,1999,Ballantine Books
2259,0671722727,King Lear,William Shakespeare,1993,Washington Square Press
2280,0425122123,Clear And Present Danger (Jack Ryan Novels),Tom Clancy,1996,Berkley Publishing Group
2334,0486401464,Oscar Wilde'S Wit And Wisdom: A Book Of Quotations (Dover Thrift Editions),Oscar Wilde,1998,Dover Publications
2341,0553211978,Northanger Abbey (Bantam Classic),Jane Austen,1985,Bantam Classics
2351,0425133540,The Sum Of All Fears (Jack Ryan Novels),Tom Clancy,1996,Berkley Publishing Group
2354,0835902242,Adventures Of Huckleberry Finn,Mark Twain,1992,Globe Fearon
2355,0425173755,Murder On The Orient Express (Hercule Poirot Mysteries (Paperback)),Agatha Christie,2000,Berkley Publishing Group
2356,0451199871,The Body In The Library (Miss Marple Mysteries (Paperback)),Agatha Christie,2000,Signet Book
2360,0671822209,Wld Accordng Garp,John Irving,1979,Pocket
2366,0671722816,Othello,William Shakespeare,1993,Washington Square Press
2401,0385304366,Wings,Terry Pratchett,1991,Random House Childrens Books
2402,0385299842,Truckers,Terry Pratchett,1990,Random House Childrens Books
2430,0061015725,Prey,Michael Crichton,2003,Avon Books
2445,0440214041,The Pelican Brief,John Grisham,1993,Dell
2526,0345337662,Interview With The Vampire,Anne Rice,1993,Ballantine Books
2527,0345351525,The Queen Of The Damned (Vampire Chronicles (Paperback)),Anne Rice,1993,Ballantine Books
2541,0020083513,Battle Of The Titans,Carolyn Keene,1991,Scribner Paper Fiction
2544,1573229326,How To Be Good,Nick Hornby,2002,Riverhead Books
2569,067170463X,Murder On The Orient Express,Agatha Christie,1978,Pocket Books
2570,0671543180,Dead Mans Folly (Hercule Poirot Mysteries (Paperback)),Agatha Christie,1984,Pocket
2571,067170091X,Endless Night,Agatha Christie,1990,Pocket Books
2572,0671705997,Easy To Kill,Agatha Christie,1991,Pocket Books
2573,0671704664,And Then There Were None,Agatha Christie,1989,Pocket Books
2575,0671696513,Abc Murders,Agatha Christie,1989,Pocket
2599,8484509125,El Ultimo Adios,Mary Higgins Clark,2002,Distribooks
2603,0553295977,Carnal Innocence,Nora Roberts,1992,Bantam Books
2621,0345314247,Blue Adept (Apprentice Adept (Paperback)),Piers Anthony,1982,Ballantine Books
2635,0451451686,Reaper Man,Terry Pratchett,1992,New Amer Library
2639,0671004549,You Belong To Me,Mary Higgins Clark,1999,Pocket Books
2650,0373512066,Sweet Enemy,Diana Palmer,2002,Silhouette
2686,0590448595,"Karen'S School Trip (Baby-Sitters Little Sister, 24)",Ann M. Martin,1992,Scholastic Paperbacks (Mm)
2687,0590448323,"Karen'S Doll (Baby-Sitters Little Sister, 23)",Ann M. Martin,1991,Scholastic
2688,0590448315,"Karen'S Pen Pal (Baby-Sitters Little Sister, 25)",Ann M. Martin,1992,Scholastic
2691,0515120618,Montana Sky,Nora Roberts,2000,Jove Books
2692,0971766711,A Thousand Country Roads: An Epilogue To The Bridges Of Madison County,Robert James Waller,2002,John M. Hardy
2700,0821772252,Scrooge Wore Spurs,Janet Dailey,2002,Kensington Publishing Corporation
2766,0515130389,Carolina Moon,Nora Roberts,2001,Jove Books
2768,0142004235,East Of Eden (Oprah'S Book Club),John Steinbeck,2003,Penguin Books
2769,0515135062,Three Fates,Nora Roberts,2004,Jove Books
2784,051513287X,Face The Fire (Three Sisters Island Trilogy),Nora Roberts,2002,Jove Books
2804,0451455789,No One Noticed The Cat,Anne McCaffrey,1996,Roc
2809,0590353403,Harry Potter And The Sorcerer'S Stone (Book 1),J. K. Rowling,1998,Scholastic
2850,014043187X,The Picture Of Dorian Gray (Penguin Classic),Oscar Wilde,1985,Penguin Books
2851,0425101452,Phantoms,Dean R. Koontz,1996,Berkley Publishing Group
2864,0684874350,Angela'S Ashes,Frank McCourt,1996,Scribner
2885,034538475X,The Tale Of The Body Thief (Vampire Chronicles (Paperback)),Anne Rice,1993,Ballantine Books
2906,0425098648,Night Chills,Dean R. Koontz,1996,Berkley Publishing Group
2911,0451153553,Misery,Stephen King,1988,New Amer Library
2939,0425188809,Watchers,Dean R. Koontz,2003,Berkley Publishing Group
2942,034539657X,Dark Rivers Of The Heart,Dean R. Koontz,1995,Ballantine Books
2946,0425144429,Mr. Murder,Dean R. Koontz,1996,Berkley Publishing Group
2953,037329168X,Magic And Mist (Historical),Fern Michaels,2001,Harlequin
2958,0486290492,Sense And Sensibility (Dover Thrift Editions),Jane Austen,1995,Dover Publications
2961,0399144137,Rainbow Six,Tom Clancy,1998,Putnam Publishing Group
3003,0380818191,"Truth, The",Terry Pratchett,2001,HarperTorch
3045,0671881957,Kiss And Tell (Nancy Drew Files 104) : Kiss And Tell,Carolyn Keene,1995,Simon Pulse
3052,0671881965,Stolen Affections (Nancy Drew Files 105) : Stolen Affections,Carolyn Keene,1995,Simon Pulse
3053,0671881981,Anything For Love (Nancy Drew Files 107) : Anything For Love (Nancy Drew Files (Paperback)),Carolyn Keene,1995,Simon Pulse
3054,0671881930,Counterfeit Christmas (Nancy Drew Files 102) : Counterfeit Christmas (Nancy Drew Files (Paperback)),Carolyn Keene,1994,Simon Pulse
3055,0671881949,Heart Of Ice (Nancy Drew Files 103) : Heart Of Ice (Nancy Drew Files (Paperback)),Carolyn Keene,1995,Simon Pulse
3070,0590428098,"Yours Truly, Shirley",Ann M. Martin,1990,Scholastic Paperbacks (Mm)
3080,0671674919,"The Suspect Next Door Nancy Drew Files #39 (The Nancy Drew Files Case, No 39)",Carolyn Keene,1989,Simon Pulse
3111,0451459245,The Firebrand: A Novel,Marion Zimmer Bradley,2003,Roc
3124,0345334310,The Ship Who Sang,Anne McCaffrey,1993,Del Rey Books
3127,0812533666,Isle Of Woman (Geodyssey),Piers Anthony,1994,Tor Fantasy
3128,0893757837,Tale Of Two Cities (Watermill Classics),Charles Dickens,1987,Troll Communications
3162,051512317X,Rising Tides,Nora Roberts,2001,Jove Books
3163,0515114693,Born In Fire,Nora Roberts,1994,Jove Books
3166,0553212761,Mansfield Park (Bantam Classic),Jane Austen,1983,Bantam Books
3169,0345367421,The Water-Method Man,John Irving,1990,Ballantine Books
3177,0486280489,The Scarlet Letter (Dover Thrift Editions),Nathaniel Hawthorne,1994,Dover Publications
3234,1558743669,"A Child Called \It\"": One Child'S Courage To Survive""",Dave Pelzer,1995,Health Communications
3237,059045367X,"Monster Blood (Goosebumps, No 3)",R. L. Stine,1995,Scholastic
3238,0590453661,"Stay Out Of The Basement (Goosebumps, No 2)",R. L. Stine,1995,Scholastic
3252,0439101336,A Christmas Carol (Scholastic Classics),Charles Dickens,2000,Scholastic
3254,0684832380,"My Gal Sunday Large Print : \Henry And Sunday\"" Stories""",Mary Higgins Clark,1996,Simon &amp; Schuster
3258,0451150635,Different Seasons M/Tv,Stephen King,1986,Signet Book
3299,0425143325,Without Remorse,Tom Clancy,2004,Berkley Publishing Group
3300,0425180964,The Bear And The Dragon (Jack Ryan Novels),Tom Clancy,2001,Berkley Publishing Group
3320,3453159926,Atlantis.,Stephen King,1999,"Heyne GmbH &amp; Co. KG, Verlag"
3327,0451521285,The Tragedy Of Hamlet Prince Of Denmark (Signet Classic Shakespeare Series),William Shakespeare,1993,Signet Classics
3341,0451521358,Macbeth,William Shakespeare,1989,New Amer Library (Mm)
3352,0061020710,The Color Of Magic,Terry Pratchett,2000,HarperTorch
3356,0345272579,The Hobbit,J. R. R. Tolkien,1977,Ballantine Books
3357,0385199570,The Stand (The Complete And Uncut Edition),Stephen King,1990,Doubleday Books
3362,3453169247,Der Verrat.,John Grisham,2000,Heyne
3366,0553298496,She'S Not What She Seems (Sweet Valley High No. 92),Francine Pascal,1993,Sweet Valley
3367,0553255371,"Spring Break (Sweet Valley High Super Edition, No 3)",Francine Pascal,1986,Sweet Valley
3379,0141304707,The Wonderful Story Of Henry Sugar And Six More,Roald Dahl,2000,Puffin Books
3389,044809553X,"The Sky Phantom (Nancy Drew Mystery Stories, No 53)",Carolyn Keene,1976,Grosset &amp; Dunlap
3392,0448095548,"The Strange Message In The Parchment (Nancy Drew Mystery Stories, No 54)",Carolyn Keene,1977,Grosset &amp; Dunlap
3397,0590448250,"Karen'S Cartwheel (Baby-Sitters Little Sister, 29)",Ann M. Martin,1992,Scholastic
3408,0312863403,"Hope Of Earth (Anthony, Piers. Geodyssey, V. 3.)",Piers Anthony,1997,St Martins Pr
3410,1558744630,Chicken Soup For The Teenage Soul (Chicken Soup For The Soul),Jack Canfield,1997,Health Communications
3419,1558746161,Chicken Soup For The Teenage Soul Ii (Chicken Soup For The Soul Series),Jack Canfield,1998,HCI Teens
3424,0671721291,The Ship Who Searched,Anne McCaffrey,1992,Baen
3430,0446670626,"I, Robot:The Illustrated Screenplay",Isaac Asimov,1994,Warner Books
3459,0439064872,Harry Potter And The Chamber Of Secrets (Book 2),J. K. Rowling,2000,Scholastic
3569,0140018328,Kiss Kiss (French Language Edition),Roald Dahl,1978,French &amp; European Pubns
3573,0385177259,Foundation'S Edge (Foundation Novels (Hardcover)),Isaac Asimov,1982,Bantam Dell Pub Group
3603,0670855030,Insomnia,Stephen King,1994,Viking Books
3604,0517064626,"Mary Higgins Clark: Three Complete Novels : Weep No More, My Lady/Stillwatch/A Cry In The Night/3 Novels In 1 Volume",Mary Higgins Clark,1992,Wings
3618,0743200985,Tis: A Memoir,Frank McCourt,2000,Simon &amp; Schuster
3619,0425118703,Midnight,Dean R. Koontz,1995,Berkley Publishing Group
3624,0486415910,A Connecticut Yankee In King Arthur'S Court (Dover Thrift Editions),Mark Twain,2001,Dover Publications
3651,0312055145,Shakespeare On Love: Quotations From The Plays And Poems,William Shakespeare,1991,St. Martin's Press
3656,0380699176,"100 Great Fantasy Short, Short Stories",Isaac Asimov,1987,Harper Mass Market Paperbacks (Mm)
3669,0553258559,Dragondrums (Harper Hall Trilogy),Anne McCaffrey,1996,Spectra Books
3738,0671531409,Midsummer Nights Dream,William Shakespeare,1984,Pocket Books
3744,0345309014,Second Foundation (Foundation Novels (Paperback)),Isaac Asimov,1983,Ballantine Books
3745,0345308999,Foundation (Foundation Novels (Paperback)),Isaac Asimov,1983,Del Rey Books
3746,0345309006,Foundation And Empire (Foundation Novels (Paperback)),Isaac Asimov,1983,Del Rey Books
3750,0312865031,Gravelight,Marion Zimmer Bradley,1997,St Martins Pr
3774,0399136487,Damia (Rowan),Anne McCaffrey,1992,Putnam Pub Group
3785,0684853515,Hearts In Atlantis : New Fiction,Stephen King,1999,Scribner
3786,0375504397,Black House,Stephen King,2001,Random House Trade
3800,0460872125,Pride And Prejudice (Everyman Paperback Classics),Jane Austen,1993,J.M. Dent &amp; Sons
3802,0345311965,Pebble In The Sky,Isaac Asimov,1983,Del Rey Books
3803,0451139739,Christine,Stephen King,1983,New Amer Library
3822,0671720414,Generation Warriors,Anne McCaffrey,1991,Baen
3823,0345275675,"The White Dragon (Dragonriders Of Pern, V. 3)",Anne McCaffrey,1981,Ultramarine Pub Co
3828,0451188462,Desperation,Stephen King,1997,Signet Book
3829,034525855X,A Spell For Chameleon (Magic Of Xanth),Piers Anthony,1977,Ballantine Books
3830,0441135560,Damia (Ace Science Fiction),Anne McCaffrey,1993,ACE Charter
3839,0439136350,Harry Potter And The Prisoner Of Azkaban (Book 3),J. K. Rowling,1999,Scholastic
3854,3453061187,Die Jury. Roman.,John Grisham,1992,Heyne
3892,0671867172,The Lottery Winner : Alvirah And Willy Stories,Mary Higgins Clark,1995,Pocket
3914,0613329740,Quidditch Through The Ages,J. K. Rowling,2001,Sagebrush Education Resources
3915,0613325419,Fantastic Beasts And Where To Find Them,J. K. Rowling,2001,Sagebrush Bound
3940,843509975X,La Perla,John Steinbeck,2003,Edhasa
3959,1551669307,A Gift To Last,Debbie Macomber,2002,Mira
4002,0373079613,"Enchanted: The Donovan Legacy (Intimate Moments, #961)",Nora Roberts,1999,Silhouette
4003,0440200989,Weep No More My Lady,Mary Higgins Clark,1993,Dell
4004,0671568175,Let Me Call You Sweetheart,Mary Higgins Clark,1996,Pocket
4010,0373484003,Irish Hearts,Nora Roberts,2000,Silhouette
4015,1558747109,"Chicken Soup For The Cat And Dog Lover'S Soul - Celebrating Pets As Family With Stories About Cats, Dogs And Other Critters",Jack Canfield,1999,Health Communications
4028,1551665638,Call It Destiny (Mira),Jayne Ann Krentz,2000,Mira Books
4050,0671728571,Wildest Hearts,Jayne Ann Krentz,1993,Pocket
4057,0425116840,The Cardinal Of The Kremlin (Jack Ryan Novels),Tom Clancy,1989,Berkley Publishing Group
4062,0425191184,Red Rabbit,Tom Clancy,2003,Berkley Publishing Group
